"ADRNo","SARType","IncidentDate","Received","IncidentType","Serious","SARDay","SARMonth","SARYear","ReportType","PrimarySourceCountry","OccurCountry"
"0141/19","Human","1/4/2019","1/8/2019","Safety Issue","","04","01","2019","Spontaneous and expedited","GB","GB"
"0142/19","Animal","1/6/2019","1/8/2019","Safety issue","N","06","01","2019","Spontaneous and expedited","GB","GB"
"0143/19","Animal","12/24/2018","1/8/2019","Safety Issue","Y","24","12","2018","Spontaneous and expedited","GB","GB"
"0144/19","Animal","1/1/2019","1/8/2019","Lack of expected efficacy","Y","01","01","2019","Spontaneous and expedited","GB","GB"
"0145/19","Animal","1/1/2019","1/8/2019","Safety Issue","Y","01","01","2019","Other","GB","GB"
"0146/19","Animal","1/5/2019","1/8/2019","Safety issue","N","05","01","2019","Spontaneous and expedited","GB","GB"
"0147/19","Animal","1/2/2019","1/9/2019","Safety Issue","Y","02","01","2019","Spontaneous and expedited","GB","GB"
"0148/19","Animal","11/8/2018","1/9/2019","Safety issue","Y","08","11","2018","Spontaneous and expedited","GB","GB"
"0149/19","Animal","1/1/2013","1/9/2019","Safety Issue","Y","","","2013","Spontaneous and expedited","GB","GB"
"0150/19","Animal","10/25/2013","1/9/2019","Safety Issue","N","25","10","2013","Spontaneous and expedited","GB","GB"
"0001/19","Animal","12/10/2018","1/1/2019","Lack of expected efficacy","Y","10","12","2018","Spontaneous and expedited","GB","GB"
"0002/19","Animal","12/13/2018","1/1/2019","Lack of expected efficacy","Y","13","12","2018","Spontaneous and expedited","GB","GB"
"0004/19","Animal","1/2/2019","1/2/2019","Safety issue","N","02","01","2019","Spontaneous and expedited","GB","GB"
"0005/19","Animal","11/24/2018","1/2/2019","Safety Issue","Y","24","11","2018","Spontaneous and expedited","GB","GB"
"0006/19","Animal","1/1/2019","1/2/2019","Safety issue","N","01","01","2019","Spontaneous and expedited","GB","GB"
"0007/19","Animal","12/1/2018","1/2/2019","Lack of expected efficacy","Y","","12","2018","Spontaneous and expedited","GB","GB"
"0008/19","Animal","12/1/2018","1/2/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0009/19","Animal","9/25/2018","1/2/2019","Safety Issue","N","25","09","2018","Spontaneous and expedited","GB","GB"
"0010/19","Animal","12/8/2018","1/2/2019","Safety Issue","N","08","12","2018","Spontaneous and expedited","GB","GB"
"0011/19","Animal","12/8/2018","1/2/2019","Safety Issue","N","08","12","2018","Spontaneous and expedited","GB","GB"
"0012/19","Animal","12/10/2018","1/2/2019","Safety Issue","N","10","12","2018","Spontaneous and expedited","GB","GB"
"0013/19","Animal","12/8/2018","1/2/2019","Safety Issue","N","08","12","2018","Spontaneous and expedited","GB","GB"
"0014/19","Animal","12/12/2018","1/2/2019","Safety Issue","N","12","12","2018","Spontaneous and expedited","GB","GB"
"0015/19","Animal","12/5/2018","1/2/2019","Safety Issue","N","05","12","2018","Spontaneous and expedited","GB","GB"
"0016/19","Animal","12/21/2018","1/2/2019","Safety Issue","Y","21","12","2018","Spontaneous and expedited","GB","GB"
"0017/19","Animal","12/10/2018","1/2/2019","Safety Issue","Y","10","12","2018","Spontaneous and expedited","GB","GB"
"0018/19","Animal","11/27/2018","1/2/2019","Safety Issue","N","27","11","2018","Spontaneous and expedited","GB","GB"
"0019/19","Animal","12/1/2018","1/2/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0020/19","Animal","12/1/2018","1/2/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0021/19","Animal","12/1/2015","1/2/2019","Safety Issue","N","01","12","2015","Spontaneous and expedited","GB","GB"
"0022/19","Animal","12/1/2018","1/2/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0023/19","Animal","10/24/2018","1/2/2019","Safety Issue","N","24","10","2018","Spontaneous and expedited","GB","GB"
"0024/19","Animal","11/30/2018","1/2/2019","Safety Issue","N","30","11","2018","Spontaneous and expedited","GB","GB"
"0025/19","Animal","12/9/2018","1/2/2019","Safety Issue","N","09","12","2018","Spontaneous and expedited","GB","GB"
"0026/19","Animal","12/1/2018","1/2/2019","Lack of expected efficacy","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0027/19","Animal","12/15/2017","1/2/2019","Safety Issue","N","15","12","2017","Spontaneous and expedited","GB","GB"
"0028/19","Animal","11/1/2018","1/2/2019","Safety Issue","N","01","11","2018","Spontaneous and expedited","GB","GB"
"0029/19","Animal","12/1/2018","1/2/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0030/19","Animal","12/11/2012","1/2/2019","Safety Issue","N","11","12","2012","Spontaneous and expedited","GB","GB"
"0031/19","Animal","11/1/2017","1/2/2019","Safety Issue","N","01","11","2017","Spontaneous and expedited","GB","GB"
"0032/19","Animal","12/1/2018","1/2/2019","Lack of expected efficacy","Y","","12","2018","Spontaneous and expedited","GB","GB"
"0033/19","Animal","12/13/2018","1/2/2019","Lack of expected efficacy","N","13","12","2018","Spontaneous and expedited","GB","GB"
"0034/19","Animal","5/29/2018","1/2/2019","Safety Issue","N","29","05","2018","Spontaneous and expedited","GB","GB"
"0035/19","Animal","12/13/2018","1/2/2019","Safety Issue","N","13","12","2018","Spontaneous and expedited","GB","GB"
"0036/19","Animal","12/1/2018","1/2/2019","Lack of expected efficacy","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0037/19","Animal","10/15/2018","1/2/2019","Safety Issue","N","15","10","2018","Spontaneous and expedited","GB","GB"
"0038/19","Animal","12/17/2018","1/2/2019","Safety Issue","N","17","12","2018","Spontaneous and expedited","GB","GB"
"0039/19","Animal","12/10/2018","1/2/2019","Lack of expected efficacy","N","10","12","2018","Spontaneous and expedited","GB","GB"
"0040/19","Animal","11/12/2013","1/2/2019","Safety Issue","N","12","11","2013","Spontaneous and expedited","GB","GB"
"0041/19","Animal","12/18/2018","1/2/2019","Lack of expected efficacy","N","18","12","2018","Spontaneous and expedited","GB","GB"
"0042/19","Animal","12/13/2018","1/2/2019","Safety Issue","N","13","12","2018","Spontaneous and expedited","GB","GB"
"0043/19","Animal","12/18/2018","1/2/2019","Lack of expected efficacy","N","18","12","2018","Spontaneous and expedited","GB","GB"
"0044/19","Animal","12/11/2018","1/2/2019","Lack of expected efficacy","N","11","12","2018","Spontaneous and expedited","GB","GB"
"0045/19","Animal","12/17/2018","1/2/2019","Safety Issue","N","17","12","2018","Spontaneous and expedited","GB","GB"
"0046/19","Animal","10/22/2018","1/2/2019","Safety Issue","N","22","10","2018","Spontaneous and expedited","GB","GB"
"0047/19","Animal","12/1/2018","1/2/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0048/19","Animal","12/15/2018","1/2/2019","Safety Issue","N","15","12","2018","Spontaneous and expedited","GB","GB"
"0049/19","Animal","12/1/2018","1/2/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0050/19","Animal","11/14/2018","1/2/2019","Safety issue","Y","14","11","2018","Spontaneous and expedited","GB","GB"
"0051/19","Animal","12/17/2018","1/2/2019","Safety Issue","N","17","12","2018","Spontaneous and expedited","GB","GB"
"0052/19","Animal","12/15/2018","1/2/2019","Safety Issue","N","15","12","2018","Spontaneous and expedited","GB","GB"
"0053/19","Animal","12/1/2018","1/2/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0054/19","Animal","12/17/2018","1/2/2019","Safety Issue","Y","17","12","2018","Spontaneous and expedited","GB","GB"
"0055/19","Animal","12/4/2018","1/2/2019","Safety Issue","N","04","12","2018","Spontaneous and expedited","GB","GB"
"0056/19","Animal","12/17/2018","1/2/2019","Safety Issue","N","17","12","2018","Spontaneous and expedited","GB","GB"
"0057/19","Animal","12/17/2018","1/2/2019","Safety Issue","N","17","12","2018","Spontaneous and expedited","GB","GB"
"0058/19","Animal","10/27/2018","1/3/2019","Safety Issue","Y","27","10","2018","Spontaneous and expedited","GB","GB"
"0059/19","Animal","12/17/2018","1/3/2019","Safety Issue","Y","17","12","2018","Spontaneous and expedited","GB","GB"
"0060/19","Animal","12/3/2018","1/3/2019","Safety Issue","Y","03","12","2018","Spontaneous and expedited","GB","GB"
"0061/19","Animal","12/6/2018","1/3/2019","Safety Issue","Y","06","12","2018","Spontaneous and expedited","GB","GB"
"0062/19","Animal","12/22/2018","1/3/2019","Lack of expected efficacy","Y","22","12","2018","Spontaneous and expedited","GB","GB"
"0063/19","Animal","12/22/2018","1/3/2019","Safety Issue","Y","22","12","2018","Spontaneous and expedited","GB","GB"
"0151/19","Animal","1/1/2019","1/9/2019","Safety issue","N","01","01","2019","Spontaneous and expedited","GB","GB"
"0152/19","Animal","1/1/2019","1/9/2019","Safety issue","N","01","01","2019","Spontaneous and expedited","GB","GB"
"0153/19","Animal","1/5/2019","1/9/2019","Safety issue","Y","05","01","2019","Spontaneous and expedited","GB","GB"
