"ADRNo","SARType","IncidentDate","Received","IncidentType","Serious","SARDay","SARMonth","SARYear","ReportType","PrimarySourceCountry","OccurCountry"
"2527/19","Animal","3/20/2019","3/20/2019","Safety issue","N","20","03","2019","Spontaneous and expedited","GB","GB"
"2528/19","Animal","2/1/2019","3/20/2019","Safety Issue","N","01","02","2019","Spontaneous and expedited","GB","GB"
"2529/19","Animal","3/20/2019","3/20/2019","Safety issue","Y","20","03","2019","Spontaneous and expedited","GB","GB"
"2530/19","Animal","2/28/2019","3/20/2019","Safety issue","N","28","02","2019","Spontaneous and expedited","GB","GB"
"2531/19","Animal","3/19/2019","3/20/2019","Safety issue","N","19","03","2019","Report from study","GB","GB"
"2532/19","Animal","3/4/2019","3/20/2019","Safety Issue","N","04","03","2019","Spontaneous and expedited","GB","GB"
"2533/19","Animal","3/10/2019","3/20/2019","Safety issue","Y","10","03","2019","Spontaneous and expedited","GB","GB"
"2534/19","Animal","3/6/2019","3/20/2019","Safety Issue","N","06","03","2019","Spontaneous and expedited","GB","GB"
"2535/19","Animal","3/17/2019","3/20/2019","Safety Issue","Y","17","03","2019","Spontaneous and expedited","GB","GB"
"2536/19","Animal","2/1/2019","3/20/2019","Lack of expected efficacy","Y","","02","2019","Spontaneous and expedited","GB","GB"
"2537/19","Animal","3/13/2019","3/20/2019","Safety Issue","Y","13","03","2019","Spontaneous and expedited","GB","GB"
"2538/19","Animal","3/19/2019","3/20/2019","Safety issue","N","19","03","2019","Spontaneous and expedited","GB","GB"
"2539/19","Animal","2/11/2019","3/20/2019","Safety Issue","Y","11","02","2019","Spontaneous and expedited","GB","GB"
"2540/19","Animal","3/7/2019","3/20/2019","Safety Issue","Y","07","03","2019","Spontaneous and expedited","GB","GB"
"2541/19","Animal","3/8/2019","3/20/2019","Safety Issue","Y","08","03","2019","Spontaneous and expedited","GB","GB"
"2542/19","Animal","6/1/2017","3/20/2019","Safety issue","Y","01","06","2017","Spontaneous and expedited","GB","GB"
"2543/19","Animal","3/8/2019","3/20/2019","Safety Issue","Y","08","03","2019","Spontaneous and expedited","GB","GB"
"2544/19","Animal","2/25/2019","3/20/2019","Safety Issue","Y","25","02","2019","Spontaneous and expedited","GB","GB"
"2545/19","Animal","3/7/2019","3/20/2019","Safety Issue","Y","07","03","2019","Spontaneous and expedited","GB","GB"
"2546/19","Animal","3/19/2019","3/20/2019","Safety issue","Y","19","03","2019","Spontaneous and expedited","GB","GB"
"2547/19","Animal","2/13/2019","3/20/2019","Safety Issue","N","13","02","2019","Spontaneous and expedited","GB","GB"
"2548/19","Animal","2/1/2019","3/20/2019","Safety Issue","N","01","02","2019","Spontaneous and expedited","GB","GB"
"2549/19","Animal","2/17/2019","3/20/2019","Safety Issue","Y","17","02","2019","Spontaneous and expedited","GB","GB"
"2550/19","Animal","3/1/2019","3/20/2019","Lack of expected efficacy","N","01","03","2019","Spontaneous and expedited","GB","GB"
"2551/19","Animal","3/1/2017","3/20/2019","Safety Issue","Y","01","03","2017","Spontaneous and expedited","GB","GB"
"2552/19","Animal","2/21/2019","3/20/2019","Safety Issue","N","21","02","2019","Spontaneous and expedited","GB","GB"
"2553/19","Animal","5/3/2017","3/20/2019","Safety Issue","Y","03","05","2017","Spontaneous and expedited","GB","GB"
"2554/19","Animal","6/1/2018","3/21/2019","Safety Issue","Y","","06","2018","Spontaneous and expedited","GB","GB"
"2555/19","Animal","12/22/2018","3/21/2019","Safety Issue","Y","22","12","2018","Spontaneous and expedited","GB","GB"
"2556/19","Animal","3/14/2019","3/21/2019","Safety Issue","Y","14","03","2019","Spontaneous and expedited","GB","GB"
"2557/19","Animal","7/16/2018","3/21/2019","Safety Issue","Y","16","07","2018","Spontaneous and expedited","GB","GB"
"2558/19","Animal","3/18/2019","3/21/2019","Safety Issue","Y","18","03","2019","Spontaneous and expedited","GB","GB"
"2559/19","Animal","8/1/2017","3/21/2019","Safety Issue","Y","","08","2017","Spontaneous and expedited","GB","GB"
"2560/19","Animal","2/26/2019","3/21/2019","Safety issue","N","26","02","2019","Spontaneous and expedited","GB","GB"
"2561/19","Animal","3/4/2019","3/21/2019","Lack of expected efficacy","Y","04","03","2019","Spontaneous and expedited","GB","GB"
"2562/19","Animal","2/20/2019","3/21/2019","Safety Issue","N","20","02","2019","Spontaneous and expedited","GB","GB"
"2563/19","Animal","3/1/2019","3/21/2019","Lack of expected efficacy","Y","","03","2019","Spontaneous and expedited","GB","GB"
"2564/19","Animal","3/14/2019","3/21/2019","Safety issue","N","14","03","2019","Spontaneous and expedited","GB","GB"
"2565/19","Animal","3/6/2019","3/21/2019","Safety Issue","Y","06","03","2019","Spontaneous and expedited","GB","GB"
"2566/19","Animal","3/15/2019","3/21/2019","Safety issue","N","15","03","2019","Spontaneous and expedited","GB","GB"
"2567/19","Animal","2/21/2019","3/21/2019","Safety Issue","N","21","02","2019","Spontaneous and expedited","GB","GB"
"2568/19","Animal","3/6/2019","3/21/2019","Safety issue","Y","06","03","2019","Spontaneous and expedited","GB","GB"
"2569/19","Animal","2/21/2019","3/21/2019","Safety Issue","N","21","02","2019","Spontaneous and expedited","GB","GB"
"2570/19","Animal","1/9/2019","3/21/2019","Safety Issue","Y","09","01","2019","Spontaneous and expedited","GB","GB"
"2571/19","Animal","11/15/2018","3/21/2019","Safety Issue","N","15","11","2018","Spontaneous and expedited","GB","GB"
"2572/19","Animal","2/19/2019","3/21/2019","Safety Issue","N","19","02","2019","Spontaneous and expedited","GB","GB"
"2573/19","Animal","1/15/2019","3/21/2019","Safety Issue","N","15","01","2019","Spontaneous and expedited","GB","GB"
"2574/19","Animal","3/15/2019","3/21/2019","Lack of expected efficacy","N","13","03","2019","Spontaneous and expedited","GB","GB"
"2575/19","Animal","2/22/2019","3/21/2019","Safety Issue","N","22","02","2019","Spontaneous and expedited","GB","GB"
"2576/19","Animal","2/19/2019","3/21/2019","Safety Issue","N","19","02","2019","Spontaneous and expedited","GB","GB"
"2577/19","Animal","2/19/2019","3/21/2019","Safety Issue","N","19","02","2019","Spontaneous and expedited","GB","GB"
"2578/19","Animal","2/1/2019","3/21/2019","Lack of expected efficacy","N","01","02","2019","Spontaneous and expedited","GB","GB"
"2579/19","Animal","2/22/2019","3/21/2019","Safety Issue","N","22","02","2019","Spontaneous and expedited","GB","GB"
"2580/19","Animal","2/5/2019","3/21/2019","Safety Issue","N","05","02","2019","Spontaneous and expedited","GB","GB"
"2581/19","Animal","2/19/2019","3/21/2019","Safety Issue","N","19","02","2019","Spontaneous and expedited","GB","GB"
"2582/19","Animal","3/9/2019","3/21/2019","Safety issue","N","09","03","2019","Spontaneous and expedited","GB","GB"
"2583/19","Animal","2/22/2019","3/21/2019","Safety Issue","N","22","02","2019","Spontaneous and expedited","GB","GB"
"2584/19","Animal","1/26/2019","3/21/2019","Safety Issue","Y","26","01","2019","Spontaneous and expedited","GB","GB"
"2585/19","Animal","3/4/2019","3/21/2019","Safety Issue","Y","04","03","2019","Spontaneous and expedited","GB","GB"
"2586/19","Animal","2/23/2019","3/21/2019","Safety Issue","N","23","02","2019","Spontaneous and expedited","GB","GB"
"2587/19","Animal","3/21/2019","3/21/2019","Safety issue","N","21","03","2019","Spontaneous and expedited","GB","GB"
"2589/19","Animal","3/1/2019","3/21/2019","Lack of expected efficacy","Y","","03","2019","Spontaneous and expedited","GB","GB"
"2590/19","Animal","12/28/2018","3/21/2019","Lack of expected efficacy","Y","27","12","2018","Spontaneous and expedited","GB","GB"
"2591/19","Animal","11/1/2018","3/21/2019","Safety Issue","Y","01","11","2018","Spontaneous and expedited","GB","GB"
"2592/19","Animal","3/8/2019","3/21/2019","Lack of expected efficacy","Y","08","03","2019","Spontaneous and expedited","GB","GB"
"2593/19","Animal","3/17/2019","3/21/2019","Safety Issue","Y","17","03","2019","Spontaneous and expedited","GB","GB"
"2594/19","Animal","2/25/2019","3/21/2019","Safety Issue","Y","22","02","2019","Spontaneous and expedited","GB","GB"
"2595/19","Animal","2/1/2019","3/21/2019","Safety Issue","Y","","02","2019","Spontaneous and expedited","GB","GB"
"2596/19","Human","3/13/2019","3/21/2019","Safety Issue","","13","03","2019","Spontaneous and expedited","GB","GB"
"2597/19","Animal","3/17/2019","3/21/2019","Safety Issue","Y","17","03","2019","Spontaneous and expedited","GB","GB"
"2598/19","Animal","2/1/2019","3/21/2019","Lack of expected efficacy","Y","","02","2019","Spontaneous and expedited","GB","GB"
"2599/19","Animal","3/18/2019","3/21/2019","Safety Issue","Y","18","03","2019","Spontaneous and expedited","GB","GB"
"2600/19","Animal","3/18/2019","3/21/2019","Safety Issue","Y","18","03","2019","Spontaneous and expedited","GB","GB"
"2601/19","Animal","1/22/2019","3/21/2019","Lack of expected efficacy","Y","22","01","2019","Spontaneous and expedited","GB","GB"
"2602/19","Animal","3/7/2019","3/21/2019","Safety Issue","Y","07","03","2019","Spontaneous and expedited","GB","GB"
"2603/19","Animal","3/2/2019","3/21/2019","Safety Issue","Y","02","03","2019","Spontaneous and expedited","GB","GB"
"2604/19","Animal","8/25/2017","3/21/2019","Safety Issue","Y","25","08","2017","Spontaneous and expedited","GB","GB"
"2605/19","Animal","3/19/2019","3/21/2019","Safety Issue","Y","19","03","2019","Spontaneous and expedited","GB","GB"
"2607/19","Animal","3/6/2019","3/21/2019","Safety Issue","Y","06","03","2019","Spontaneous and expedited","GB","GB"
"2609/19","Animal","9/6/2018","3/21/2019","Safety issue","N","06","09","2018","Spontaneous and expedited","GB","GB"
"2610/19","Animal","9/2/2016","3/21/2019","Safety issue","N","02","09","2016","Spontaneous and expedited","GB","GB"
"2611/19","Animal","3/22/2019","3/22/2019","Safety issue","N","22","03","2019","Spontaneous and expedited","GB","GB"
"2612/19","Animal","2/19/2019","3/22/2019","Safety Issue","Y","19","02","2019","Spontaneous and expedited","GB","GB"
"2613/19","Animal","3/20/2019","3/22/2019","Safety issue","N","20","03","2019","Spontaneous and expedited","GB","GB"
"2614/19","Animal","2/24/2019","3/22/2019","Safety Issue","N","24","02","2019","Spontaneous and expedited","GB","GB"
"2615/19","Animal","12/1/2018","3/22/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"2616/19","Animal","2/15/2019","3/22/2019","Safety Issue","N","15","02","2019","Spontaneous and expedited","GB","GB"
"2617/19","Animal","2/25/2019","3/22/2019","Safety Issue","N","25","02","2019","Spontaneous and expedited","GB","GB"
"2618/19","Animal","2/25/2019","3/22/2019","Safety Issue","N","25","02","2019","Spontaneous and expedited","GB","GB"
"2619/19","Animal","2/18/2019","3/22/2019","Safety Issue","N","18","02","2019","Spontaneous and expedited","GB","GB"
"2620/19","Animal","2/14/2019","3/22/2019","Safety Issue","N","14","02","2019","Spontaneous and expedited","GB","GB"
"2621/19","Animal","2/22/2019","3/22/2019","Safety Issue","N","22","02","2019","Spontaneous and expedited","GB","GB"
"2622/19","Animal","2/13/2019","3/22/2019","Safety Issue","Y","13","02","2019","Spontaneous and expedited","GB","GB"
"2623/19","Animal","3/31/2018","3/22/2019","Safety issue","N","31","03","2018","Spontaneous and expedited","GB","GB"
"2624/19","Animal","1/13/2017","3/22/2019","Safety issue","Y","13","01","2017","Spontaneous and expedited","GB","GB"
"2625/19","Animal","2/14/2019","3/22/2019","Safety Issue","Y","14","02","2019","Spontaneous and expedited","GB","GB"
"2626/19","Animal","3/21/2019","3/22/2019","Safety issue","N","21","03","2019","Spontaneous and expedited","GB","GB"
"2627/19","Animal","2/1/2019","3/22/2019","Safety Issue","Y","01","02","2019","Spontaneous and expedited","GB","GB"
"2628/19","Animal","3/16/2019","3/22/2019","Safety Issue","Y","16","03","2019","Spontaneous and expedited","GB","GB"
"2629/19","Animal","12/15/2018","3/22/2019","Safety issue","N","15","12","2018","Spontaneous and expedited","GB","GB"
"2630/19","Animal","3/16/2019","3/22/2019","Safety Issue","Y","16","03","2019","Spontaneous and expedited","GB","GB"
"2631/19","Animal","3/22/2019","3/22/2019","Safety issue","N","22","03","2019","Spontaneous and expedited","GB","GB"
"2632/19","Animal","11/26/2018","3/22/2019","Safety Issue","Y","26","11","2018","Spontaneous and expedited","GB","GB"
"2633/19","Human","12/1/2018","3/22/2019","Safety Issue","","","12","2018","Spontaneous and expedited","GB","GB"
"3057/19","Animal","3/9/2019","4/5/2019","Lack of expected efficacy","Y","09","03","2019","Spontaneous and expedited","GB","GB"
"3058/19","Animal","3/23/2019","4/5/2019","Lack of expected efficacy","Y","23","03","2019","Spontaneous and expedited","GB","GB"
"3059/19","Animal","3/24/2019","4/5/2019","Safety Issue","Y","24","03","2019","Spontaneous and expedited","GB","GB"
"3060/19","Animal","3/17/2019","4/5/2019","Safety Issue","Y","17","03","2019","Spontaneous and expedited","GB","GB"
"3062/19","Animal","4/2/2019","4/5/2019","Safety Issue","N","01","04","2019","Spontaneous and expedited","GB","GB"
"3063/19","Animal","3/23/2019","4/5/2019","Lack of expected efficacy","Y","23","03","2019","Spontaneous and expedited","GB","GB"
"3064/19","Animal","2/2/2019","4/5/2019","Safety Issue","Y","02","02","2019","Spontaneous and expedited","GB","GB"
"3065/19","Animal","3/14/2019","4/5/2019","Lack of expected efficacy","Y","14","03","2019","Spontaneous and expedited","GB","GB"
"3066/19","Animal","2/23/2019","4/5/2019","Safety Issue","Y","23","02","2019","Spontaneous and expedited","GB","GB"
"3067/19","Animal","3/8/2019","4/5/2019","Safety issue","N","08","03","2019","Spontaneous and expedited","GB","GB"
"3068/19","Animal","3/26/2019","4/6/2019","Lack of expected efficacy","Y","26","03","2019","Spontaneous and expedited","GB","GB"
"3069/19","Animal","3/12/2019","4/6/2019","Lack of expected efficacy","Y","12","03","2019","Spontaneous and expedited","GB","GB"
"3070/19","Animal","3/27/2019","4/6/2019","Safety Issue","Y","27","03","2019","Spontaneous and expedited","GB","GB"
"3071/19","Animal","3/31/2019","4/6/2019","Safety issue","N","31","03","2019","Spontaneous and expedited","GB","GB"
"3072/19","Animal","4/3/2019","4/7/2019","Safety issue","N","03","04","2019","Spontaneous and expedited","GB","GB"
"3073/19","Animal","4/6/2019","4/7/2019","Safety issue","N","06","04","2019","Spontaneous and expedited","GB","GB"
"3074/19","Animal","4/6/2019","4/7/2019","Safety issue","N","06","04","2019","Spontaneous and expedited","GB","GB"
"3075/19","Animal","2/22/2019","4/8/2019","Safety Issue","Y","22","02","2019","Spontaneous and expedited","GB","GB"
"3076/19","Animal","1/26/2019","4/8/2019","Safety issue","Y","26","01","2019","Spontaneous and expedited","GB","GB"
"3077/19","Animal","4/6/2019","4/8/2019","Safety issue","Y","06","04","2019","Spontaneous and expedited","GB","GB"
"3078/19","Animal","3/26/2019","4/8/2019","Safety Issue","Y","26","03","2019","Spontaneous and expedited","GB","GB"
"3080/19","Animal","3/12/2019","4/8/2019","Safety issue","N","12","03","2019","Spontaneous and expedited","GB","GB"
"3082/19","Animal","2/25/2019","4/8/2019","Safety Issue","Y","25","02","2019","Spontaneous and expedited","GB","GB"
"3083/19","Human","4/5/2019","4/8/2019","Safety Issue","","05","04","2019","Spontaneous and expedited","GB","GB"
"3084/19","Animal","4/1/2019","4/8/2019","Safety Issue","Y","01","04","2019","Spontaneous and expedited","GB","GB"
"3086/19","Animal","2/1/2019","4/8/2019","Lack of expected efficacy","Y","","02","2019","Spontaneous and expedited","GB","GB"
"3087/19","Animal","4/2/2019","4/8/2019","Safety issue","N","02","04","2019","Spontaneous and expedited","GB","GB"
"3088/19","Animal","3/25/2019","4/8/2019","Safety Issue","Y","25","03","2019","Spontaneous and expedited","GB","GB"
"3089/19","Animal","3/26/2019","4/8/2019","Safety Issue","Y","26","03","2019","Spontaneous and expedited","GB","GB"
"3090/19","Animal","3/8/2019","4/8/2019","Safety Issue","Y","17","03","2019","Spontaneous and expedited","GB","GB"
"3091/19","Animal","2/1/2019","4/8/2019","Lack of expected efficacy","Y","","02","2019","Spontaneous and expedited","GB","GB"
"2673/19","Animal","1/31/2017","3/25/2019","Safety Issue","N","31","01","2017","Spontaneous and expedited","GB","GB"
"2674/19","Animal","7/1/2018","3/25/2019","Lack of expected efficacy","Y","01","07","2018","Spontaneous and expedited","GB","GB"
"2675/19","Animal","2/18/2019","3/25/2019","Safety Issue","N","18","02","2019","Spontaneous and expedited","GB","GB"
"2676/19","Animal","11/19/2018","3/25/2019","Safety Issue","N","19","11","2018","Spontaneous and expedited","GB","GB"
"2677/19","Animal","2/12/2019","3/25/2019","Safety Issue","N","26","02","2019","Spontaneous and expedited","GB","GB"
"2678/19","Animal","3/5/2019","3/25/2019","Safety Issue","N","18","03","2019","Spontaneous and expedited","GB","GB"
"2679/19","Animal","11/19/2018","3/25/2019","Safety Issue","N","19","11","2018","Spontaneous and expedited","GB","GB"
"2680/19","Animal","2/26/2019","3/25/2019","Safety Issue","N","26","02","2019","Spontaneous and expedited","GB","GB"
"2681/19","Animal","3/5/2019","3/25/2019","Safety Issue","N","18","03","2019","Spontaneous and expedited","GB","GB"
"2682/19","Animal","3/11/2019","3/25/2019","Safety Issue","Y","11","03","2019","Spontaneous and expedited","GB","GB"
"2683/19","Animal","3/24/2019","3/25/2019","Safety issue","N","24","03","2019","Spontaneous and expedited","GB","GB"
"2684/19","Animal","3/12/2019","3/26/2019","Safety Issue","Y","12","03","2019","Spontaneous and expedited","GB","GB"
"2685/19","Animal","3/23/2019","3/26/2019","Safety issue","N","23","03","2019","Spontaneous and expedited","GB","GB"
"2686/19","Animal","3/23/2019","3/26/2019","Safety issue","Y","23","03","2019","Spontaneous and expedited","GB","GB"
"2687/19","Animal","3/25/2019","3/26/2019","Safety issue","N","25","03","2019","Spontaneous and expedited","GB","GB"
"2688/19","Animal","3/23/2019","3/26/2019","Safety issue","Y","23","03","2019","Spontaneous and expedited","GB","GB"
"2689/19","Animal","2/13/2019","3/26/2019","Safety Issue","N","13","02","2019","Spontaneous and expedited","GB","GB"
"2690/19","Animal","2/27/2019","3/26/2019","Safety Issue","N","27","02","2019","Spontaneous and expedited","GB","GB"
"2691/19","Animal","2/26/2019","3/26/2019","Safety Issue","N","26","02","2019","Spontaneous and expedited","GB","GB"
"2692/19","Animal","1/1/2019","3/26/2019","Safety Issue","N","01","01","2019","Spontaneous and expedited","GB","GB"
"2693/19","Animal","2/22/2019","3/26/2019","Lack of expected efficacy","N","22","02","2019","Spontaneous and expedited","GB","GB"
"2694/19","Animal","3/25/2019","3/26/2019","Safety issue","N","25","03","2019","Spontaneous and expedited","GB","GB"
"2695/19","Animal","12/15/2009","3/26/2019","Safety Issue","Y","15","12","2009","Spontaneous and expedited","GB","GB"
"2696/19","Animal","3/25/2019","3/26/2019","Safety issue","N","25","03","2019","Spontaneous and expedited","GB","GB"
"2697/19","Animal","3/12/2019","3/26/2019","Safety Issue","Y","12","03","2019","Spontaneous and expedited","GB","GB"
"2698/19","Animal","3/1/2019","3/26/2019","Lack of expected efficacy","Y","08","03","2019","Spontaneous and expedited","GB","GB"
"2699/19","Animal","3/9/2019","3/26/2019","Safety issue","N","09","03","2019","Spontaneous and expedited","GB","GB"
"2700/19","Animal","6/1/2018","3/26/2019","Safety Issue","Y","","06","2018","Spontaneous and expedited","GB","GB"
"2701/19","Animal","2/26/2019","3/26/2019","Safety Issue","Y","26","02","2019","Spontaneous and expedited","GB","GB"
"2702/19","Animal","3/14/2019","3/26/2019","Lack of expected efficacy","Y","14","03","2019","Spontaneous and expedited","GB","GB"
"2703/19","Animal","1/14/2019","3/26/2019","Safety Issue","Y","14","01","2019","Spontaneous and expedited","GB","GB"
"2704/19","Animal","3/13/2019","3/26/2019","Safety Issue","Y","13","03","2019","Spontaneous and expedited","GB","GB"
"2705/19","Animal","3/26/2019","3/26/2019","Safety issue","N","26","03","2019","Spontaneous and expedited","GB","GB"
"2706/19","Animal","1/1/2019","3/26/2019","Safety Issue","Y","","","2019","Spontaneous and expedited","GB","GB"
"2707/19","Animal","1/1/2016","3/26/2019","Safety Issue","Y","01","01","2016","Spontaneous and expedited","GB","GB"
"2708/19","Animal","3/12/2018","3/26/2019","Safety issue","N","12","03","2018","Spontaneous and expedited","GB","GB"
"2709/19","Animal","3/1/2019","3/26/2019","Safety Issue","Y","01","03","2019","Spontaneous and expedited","GB","GB"
"2710/19","Animal","3/22/2019","3/26/2019","Safety issue","N","22","03","2019","Spontaneous and expedited","GB","GB"
"2711/19","Animal","2/12/2019","3/26/2019","Safety Issue","Y","12","01","2019","Spontaneous and expedited","GB","GB"
"2712/19","Animal","3/21/2019","3/26/2019","Safety issue","Y","21","03","2019","Spontaneous and expedited","GB","GB"
"2713/19","Animal","3/15/2019","3/26/2019","Safety Issue","Y","15","03","2019","Spontaneous and expedited","GB","GB"
"2715/19","Animal","3/14/2019","3/26/2019","Safety Issue","Y","14","03","2019","Spontaneous and expedited","GB","GB"
"2716/19","Animal","12/20/2018","3/26/2019","Safety issue","N","20","12","2018","Spontaneous and expedited","GB","GB"
"2717/19","Animal","3/18/2019","3/27/2019","Safety Issue","Y","18","03","2019","Spontaneous and expedited","GB","GB"
"2718/19","Animal","3/23/2019","3/27/2019","Safety Issue","Y","23","03","2019","Spontaneous and expedited","GB","GB"
"2719/19","Animal","3/23/2019","3/27/2019","Lack of expected efficacy","Y","23","03","2019","Spontaneous and expedited","GB","GB"
"2720/19","Animal","3/20/2019","3/27/2019","Safety Issue","Y","20","03","2019","Spontaneous and expedited","GB","GB"
"2721/19","Animal","3/20/2019","3/27/2019","Lack of expected efficacy","Y","20","03","2019","Spontaneous and expedited","GB","GB"
"2722/19","Animal","2/20/2019","3/27/2019","Safety Issue","Y","20","02","2019","Spontaneous and expedited","GB","GB"
"2723/19","Animal","3/20/2019","3/27/2019","Safety Issue","Y","20","03","2019","Spontaneous and expedited","GB","GB"
"2724/19","Animal","3/19/2019","3/27/2019","Safety Issue","Y","19","03","2019","Spontaneous and expedited","GB","GB"
"2725/19","Animal","3/11/2019","3/27/2019","Safety Issue","Y","11","03","2019","Spontaneous and expedited","GB","GB"
"2726/19","Animal","3/22/2019","3/27/2019","Safety Issue","Y","22","03","2019","Spontaneous and expedited","GB","GB"
"2727/19","Animal","10/1/2018","3/27/2019","Safety Issue","Y","01","10","2018","Spontaneous and expedited","GB","GB"
"2728/19","Human","3/15/2019","3/27/2019","Safety Issue","","15","03","2019","Spontaneous and expedited","GB","GB"
"2729/19","Animal","3/15/2019","3/27/2019","Safety Issue","Y","15","03","2019","Spontaneous and expedited","GB","GB"
"2730/19","Animal","3/24/2019","3/27/2019","Safety issue","N","24","03","2019","Spontaneous and expedited","GB","GB"
"2731/19","Animal","2/28/2019","3/27/2019","Safety Issue","N","28","02","2019","Spontaneous and expedited","GB","GB"
"2732/19","Animal","2/6/2019","3/27/2019","Safety Issue","N","06","02","2019","Spontaneous and expedited","GB","GB"
"2733/19","Animal","12/1/2018","3/27/2019","Safety issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"2734/19","Animal","3/1/2019","3/27/2019","Safety Issue","N","01","03","2019","Spontaneous and expedited","GB","GB"
"2735/19","Animal","2/28/2019","3/27/2019","Safety Issue","N","28","02","2019","Spontaneous and expedited","GB","GB"
"2736/19","Animal","1/1/2019","3/27/2019","Safety Issue","Y","01","01","2019","Spontaneous and expedited","GB","GB"
"2737/19","Animal","2/7/2019","3/27/2019","Lack of expected efficacy","N","07","02","2019","Spontaneous and expedited","GB","GB"
"2738/19","Animal","3/18/2019","3/27/2019","Safety Issue","Y","18","03","2019","Spontaneous and expedited","GB","GB"
"2739/19","Animal","3/20/2019","3/27/2019","Safety issue","N","20","03","2019","Spontaneous and expedited","GB","GB"
"2740/19","Animal","2/1/2019","3/27/2019","Lack of expected efficacy","N","01","02","2019","Spontaneous and expedited","GB","GB"
"2741/19","Animal","3/1/2019","3/27/2019","Lack of expected efficacy","N","01","03","2019","Spontaneous and expedited","GB","GB"
"2742/19","Animal","1/4/2019","3/27/2019","Safety Issue","N","04","01","2019","Spontaneous and expedited","GB","GB"
"2743/19","Animal","3/1/2019","3/27/2019","Safety Issue","N","01","03","2019","Spontaneous and expedited","GB","GB"
"2744/19","Animal","2/27/2019","3/27/2019","Safety Issue","N","27","02","2019","Spontaneous and expedited","GB","GB"
"2745/19","Animal","2/12/2019","3/27/2019","Safety Issue","N","12","02","2019","Spontaneous and expedited","GB","GB"
"2746/19","Animal","3/1/2019","3/27/2019","Lack of expected efficacy","N","01","03","2019","Spontaneous and expedited","GB","GB"
"2747/19","Animal","2/16/2019","3/27/2019","Safety Issue","N","16","02","2019","Spontaneous and expedited","GB","GB"
"2748/19","Animal","3/2/2019","3/27/2019","Safety Issue","N","02","03","2019","Spontaneous and expedited","GB","GB"
"2749/19","Animal","2/28/2019","3/27/2019","Safety Issue","N","28","02","2019","Spontaneous and expedited","GB","GB"
"2750/19","Animal","2/8/2019","3/27/2019","Lack of expected efficacy","N","08","02","2019","Spontaneous and expedited","GB","GB"
"2751/19","Animal","1/22/2019","3/27/2019","Lack of expected efficacy","N","22","01","2019","Spontaneous and expedited","GB","GB"
"2752/19","Animal","12/1/2018","3/27/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"2753/19","Animal","3/13/2019","3/27/2019","Safety Issue","Y","13","03","2019","Spontaneous and expedited","GB","GB"
"2754/19","Animal","3/19/2019","3/27/2019","Safety Issue","Y","19","03","2019","Spontaneous and expedited","GB","GB"
"2755/19","Animal","3/4/2019","3/27/2019","Safety issue","Y","04","03","2019","Spontaneous and expedited","GB","GB"
"2756/19","Animal","2/18/2019","3/27/2019","Safety issue","N","18","02","2019","Spontaneous and expedited","GB","GB"
"2757/19","Animal","3/21/2019","3/27/2019","Safety Issue","Y","21","03","2019","Spontaneous and expedited","GB","GB"
"2758/19","Human","3/14/2019","3/27/2019","Safety Issue","","17","03","2019","Spontaneous and expedited","GB","GB"
"2759/19","Animal","1/29/2019","3/27/2019","Safety Issue","N","29","01","2019","Spontaneous and expedited","GB","GB"
"2760/19","Animal","3/25/2019","3/27/2019","Safety Issue","N","25","03","2019","Spontaneous and expedited","GB","GB"
"2761/19","Animal","3/21/2019","3/27/2019","Safety Issue","Y","21","03","2019","Spontaneous and expedited","GB","GB"
"2762/19","Animal","2/1/2019","3/27/2019","Safety Issue","N","01","02","2019","Spontaneous and expedited","GB","GB"
"2763/19","Animal","3/26/2019","3/27/2019","Safety issue","N","26","03","2019","Spontaneous and expedited","GB","GB"
"2764/19","Animal","3/10/2019","3/27/2019","Safety issue","N","10","03","2019","Spontaneous and expedited","GB","GB"
"2765/19","Animal","3/26/2019","3/27/2019","Safety Issue","Y","26","03","2019","Spontaneous and expedited","GB","GB"
"2766/19","Animal","2/28/2019","3/27/2019","Safety issue","Y","28","02","2019","Spontaneous and expedited","GB","GB"
"2767/19","Animal","2/28/2019","3/27/2019","Safety issue","N","28","02","2019","Spontaneous and expedited","GB","GB"
"2768/19","Animal","2/23/2019","3/28/2019","Safety Issue","Y","23","02","2019","Spontaneous and expedited","GB","GB"
"2769/19","Animal","3/1/2019","3/28/2019","Lack of expected efficacy","Y","01","03","2019","Spontaneous and expedited","GB","GB"
"2770/19","Animal","2/19/2019","3/28/2019","Safety Issue","Y","19","02","2019","Spontaneous and expedited","GB","GB"
"2771/19","Animal","9/9/2018","3/28/2019","Safety Issue","Y","09","09","2018","Spontaneous and expedited","GB","GB"
"2772/19","Animal","3/18/2019","3/28/2019","Safety Issue","Y","18","03","2019","Spontaneous and expedited","GB","GB"
"2773/19","Animal","3/1/2019","3/28/2019","Lack of expected efficacy","Y","","03","2019","Spontaneous and expedited","GB","GB"
"2774/19","Animal","3/16/2019","3/28/2019","Safety Issue","Y","16","03","2019","Spontaneous and expedited","GB","GB"
"2775/19","Animal","3/14/2019","3/28/2019","Safety Issue","Y","14","03","2019","Spontaneous and expedited","GB","GB"
