ADRNo;AnimalClass;AnimalSpecies;AnimalRole;ProductionType;AnimalSex;FemaleStatus;AnimalBreed;AnimalAge;AgeUnit;AgeType;MinimumAge;MaximumAge;AnimalWeight;WeightType;MinimumWeight;MaximumWeight;ParentOfCrossbreed;ClassCode;SpeciesCode;BreedCode
0001/19;Canidae;Canine/dog;Companion;;Female;Non-pregnant - Non-lactating;;3.0;Month;Exact;;;;Unknown;;;;;CanDo;
0002/19;Canidae;Canine/dog;Companion;;Female;Unknown;;1.0;Year;Approximate;;;9.6;Exact;;;;;CanDo;
0004/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Crossbred;2.19;Year;;;;7.3;;;;;Can;CanDo;CanDo070
0005/19;Canidae;Canine/dog;Companion;;Female;Unknown;;9.0;Year;Exact;;;12.6;Exact;;;;;CanDo;
0006/19;Felidae;Feline/cat;Companion;;Male;;Domestic Shorthair;7;Month;;;;2;;;;;Fel;FelCa;FelCaxxx
0007/19;Bovinae;Bovine/cattle;Production;;Male;;Unspecified;9;Month;Exact;;;;Unknown;;;;;BovCa;Uns000
0008/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
0009/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
0010/19;Canidae;Canine/dog;Companion;;Male;;;5.0;Month;Exact;;;11.0;Exact;;;;;CanDo;
0011/19;Equidae;Equine/horse;Companion;;Male;;;8.0;Year;Exact;;;;Unknown;;;;;EquHo;
0012/19;Felidae;Feline/cat;Companion;;Female;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
0013/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;6.2;Year;Exact;;;18.3;Exact;;;;;CanDo;
0014/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;18.0;Year;Exact;;;450.0;Exact;;;;;EquHo;
0015/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;2.5;Year;Exact;;;5.6;Exact;;;;;FelCa;
0016/19;Canidae;Canine/dog;Companion;;Unknown;;;8.0;Year;Exact;;;;Unknown;;;;;CanDo;
0017/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;10.0;Year;Exact;;;12.3;Exact;;;;;CanDo;
0018/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;8.4;Year;Exact;;;5.0;Exact;;;;;FelCa;
0019/19;Equidae;Equine/horse;Companion;;Female;Unknown;;7.9;Year;Exact;;;;Unknown;;;;;EquHo;
0020/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;13.0;Year;Exact;;;10.2;Exact;;;;;CanDo;
0021/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;12.0;Year;Exact;;;11.0;Exact;;;;;CanDo;
0022/19;Canidae;Canine/dog;Companion;;Male;;;10.0;Year;Exact;;;30.0;Exact;;;;;CanDo;
0023/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;5.3;Year;Exact;;;4.76;Exact;;;;;FelCa;
0024/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;2.8;Year;Exact;;;2.61;Exact;;;;;FelCa;
0025/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;12.5;Year;Exact;;;;Unknown;;;;;CanDo;
0026/19;Canidae;Canine/dog;Companion;;Male;;;18.0;Month;Exact;;;30.0;Exact;;;;;CanDo;
0027/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;7.0;Year;Exact;;;20.0;Exact;;;;;CanDo;
0028/19;Felidae;Feline/cat;Companion;;Female;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
0029/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;EquHo;
0030/19;Felidae;Feline/cat;;;Female-Neutered;Not applicable;;16.0;Year;Approximate;;;;Approximate;4.35;4.5;;;FelCa;
0031/19;Equidae;Equine/horse;Companion;;Female;Unknown;;14.0;Year;Exact;;;;Unknown;;;;;EquHo;
0032/19;Aves;Chicken;Production;;Female;Unknown;;;Day;Approximate;28;32;;Unknown;;;;;AveCh;
0033/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;1.0;Year;Exact;;;;Exact;3.4;4.57;;;FelCa;
0034/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;3.0;Year;Exact;;;14.2;Exact;;;;;CanDo;
0035/19;Canidae;Canine/dog;Companion;;Female;Non-pregnant - Non-lactating;;11.0;Year;Exact;;;34.8;Exact;;;;;CanDo;
0036/19;Canidae;Canine/dog;Companion;;Female;Unknown;;3.0;Year;Exact;;;14.0;Exact;;;;;CanDo;
0037/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;11.0;Year;Exact;;;12.5;Exact;;;;;CanDo;
0038/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;7.0;Year;Exact;;;;Unknown;;;;;EquHo;
0039/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
0040/19;Leporidae;European rabbit;;;Female;Unknown;Unspecified;;;Unknown;;;;Unknown;;;;;LepRa;Uns000
0041/19;Canidae;Canine/dog;Companion;;Female;Unknown;;6.0;Year;Exact;;;4.0;Exact;;;;;CanDo;
0042/19;Felidae;Feline/cat;Companion;;Female;Non-pregnant - Non-lactating;;3.0;Month;Approximate;;;1.06;Exact;;;;;FelCa;
0043/19;Canidae;Canine/dog;Companion;;Female;Unknown;;7.0;Year;Exact;;;16.0;Exact;;;;;CanDo;
0044/19;Felidae;Feline/cat;Companion;;Male;;;3.0;Month;Exact;;;;Unknown;;;;;FelCa;
0045/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;9.0;Year;Exact;;;;Unknown;;;;;EquHo;
0046/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;24.0;Year;Exact;;;;Unknown;;;;;EquHo;
0047/19;Equidae;Equine/horse;Companion;;Male;;;;;Unknown;;;;Unknown;;;;;EquHo;
0048/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;13.0;Year;Exact;;;;Unknown;;;;;EquHo;
0049/19;Felidae;Feline/cat;Companion;;Female;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
0050/19;Pisces;Other Pisces;Companion;;Unknown;;;;;;;;;;;;;Uns;PisOt;
0051/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;11.0;Year;Exact;;;;Unknown;;;;;EquHo;
0052/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;2.5;Year;Approximate;;;4.46;Exact;;;;;FelCa;
0053/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;EquHo;
0054/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;15.0;Year;Exact;;;6.5;Exact;;;;;FelCa;
0055/19;Equidae;Equine/horse;Companion;;Male-Neutered;;Unspecified;23.0;Year;Exact;;;;Unknown;;;;;EquHo;Uns000
0056/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;9.6;Year;Exact;;;7.6;Exact;;;;;FelCa;
0057/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;12.0;Year;Exact;;;6.2;Exact;;;;;FelCa;
0058/19;Canidae;Canine/dog;Companion;;Female;Unknown;;;;Unknown;;;13.7;Exact;;;;;CanDo;
0059/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;;;Unknown;;;28;Exact;;;;;CanDo;
0060/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;3.5;Year;Exact;;;47;Exact;;;;;CanDo;
0061/19;Canidae;Canine/dog;Companion;;Female-Neutered;;;8.0;Year;Approximate;;;10;Exact;;;;;CanDo;
0062/19;Canidae;Canine/dog;Companion;;Male;;;4.5;Month;Exact;;;3.9;Exact;;;;;CanDo;
0063/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;9.0;Year;Approximate;;;47;Exact;;;;;CanDo;
0064/19;Canidae;Canine/dog;Companion;;Unknown;;;;;Unknown;;;;Unknown;;;;;CanDo;
0065/19;Bovinae;Bovine/cattle;Production;;Female;Unknown;;;;Unknown;;;;Unknown;;;;;BovCa;
0066/19;Bovinae;Bovine/cattle;Production;;Mixed;;;;Month;Approximate;1;3;;Unknown;;;;;BovCa;
0067/19;Suidae;Porcine/Pig;Production;;Unknown;;;6;Week;Approximate;;;;Unknown;;;;;SuiPi;
0068/19;Suidae;Porcine/Pig;Production;;Mixed;;;14.0;Week;Exact;;;;Unknown;;;;;SuiPi;
0069/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Siamese;6.0;Year;Exact;;;6.45;Exact;;;;Fel;FelCa;FelCa034
0070/19;Canidae;Canine/dog;Companion;;Female;Non-pregnant - Non-lactating;;1;Year;Exact;;;9.8;Exact;;;;;CanDo;
0071/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Crossbred;5.54;Year;;;;24;;;;;Can;CanDo;CanDo070
0072/19;Felidae;Feline/cat;Companion;;Female-Neutered;;Domestic Shorthair;1.58;Year;;;;3.42;;;;;Fel;FelCa;FelCaxxx
0073/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;6.3;Exact;;;;;FelCa;
0075/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Domestic Shorthair;14.22;Year;;;;5.5;;;;;Fel;FelCa;FelCaxxx
0076/19;Equidae;Equine/horse;Companion;;Female;;;10;Year;;;;500;;;;;;EquHo;
0077/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Shih Tzu;6.25;Year;;;;5.55;;;;;Can;CanDo;CanDo206
0078/19;Aves;Other Aves;Production;;Unknown;;Unspecified;22;Week;Exact;;;2.8;Exact;;;;;AveOt;Uns000
0079/19;Canidae;Canine/dog;Companion;;Unknown;;Unspecified;;;Unknown;;;;Unknown;;;;;CanDo;Uns000
0080/19;Canidae;Canine/dog;Companion;;Unknown;;;8;Week;Exact;;;0.7;Exact;;;;;CanDo;
0081/19;Canidae;Canine/dog;Companion;;Male;;Collie - Border ;8.92;Year;;;;23.4;;;;;Can;CanDo;CanDo028
0082/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Bichon Frise;12.42;Year;;;;9.35;;;;;Can;CanDo;CanDo026
0083/19;Bovinae;Bovine/cattle;Production;;Mixed;;Unspecified;;Month;Approximate;3;4;;Approximate;120;150;;;BovCa;Uns000
0084/19;Canidae;Canine/dog;Companion;;Female;Non-pregnant - Non-lactating;;11.2;Year;Exact;;;9.1;Exact;;;;;CanDo;
0085/19;Canidae;Canine/dog;Companion;;Female;;Bichon Frise;6.34;Year;;;;8;;;;;Can;CanDo;CanDo026
0086/19;Canidae;Canine/dog;Companion;;Female;;Collie - Border ;1.09;Year;;;;17.1;;;;;Can;CanDo;CanDo028
0087/19;Canidae;Canine/dog;Companion;;Male;;Whippet;3;Year;;;;15;;;;;Can;CanDo;CanDo228
0088/19;Equidae;Equine/horse;Companion;;Female;;Other - please specify;10.5;Year;;;;500;;;;;Equ;EquHo;EquHo075
0089/19;Canidae;Canine/dog;Companion;;Male;;Crossbred;8;Year;;;;25;;;;;Can;CanDo;CanDo070
0090/19;Canidae;Canine/dog;Companion;;Male;;;3.5;Year;Exact;;;10.9;Exact;;;;;CanDo;
0091/19;Felidae;Feline/cat;Companion;;Female-Neutered;;Domestic Shorthair;7;Year;;;;3.58;;;;;Fel;FelCa;FelCaxxx
0092/19;Felidae;Feline/cat;Companion;;Male;;Domestic Shorthair;2.23;Month;;;;1.34;;;;;Fel;FelCa;FelCaxxx
0093/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Domestic Shorthair;3.61;Year;;;;3.5;;;;;Fel;FelCa;FelCaxxx
0094/19;Felidae;Feline/cat;Companion;;Female-Neutered;;Domestic Shorthair;3;Year;;;;4.75;;;;;Fel;FelCa;FelCaxxx
0095/19;Canidae;Canine/dog;Companion;;Male;;Samoyed;7.33;Year;;;;25;;;;;Can;CanDo;CanDo192
0096/19;Canidae;Canine/dog;Companion;;Female;;Poodle - Miniature ;10.5;Year;;;;10;;;;;Can;CanDo;CanDo045
0098/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Crossbred;11;Year;;;;6.7;;;;;Can;CanDo;CanDo070
0099/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Poodle - Miniature ;8.44;Year;;;;7.4;;;;;Can;CanDo;CanDo045
0100/19;Leporidae;European rabbit;Companion;;Female-Neutered;;Dwarf Lop;4.33;Year;;;;2.5;;;;;Lep;LepRa;LepRa008
0101/19;Canidae;Canine/dog;Companion;;Unknown;;Spaniel - Springer Unspecified;8;Year;;;;16.8;;;;;Can;CanDo;CanDoxxx
0102/19;Felidae;Feline/cat;Companion;;Female-Neutered;;Domestic Shorthair;6.23;Year;;;;3.82;;;;;Fel;FelCa;FelCaxxx
0097/19;Equidae;Equine/horse;Companion;;Female;;;9;Year;;;;550;;;;;;EquHo;
0103/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Crossbred;15;Year;;;;10.4;;;;;Can;CanDo;CanDo070
0104/19;Canidae;Canine/dog;Companion;;Male;;Terrier - Jack Russell ;9.81;Year;;;;8.6;;;;;Can;CanDo;CanDo139
0105/19;Canidae;Canine/dog;Companion;;Female;;Chihuahua;4;Month;;;;1.58;;;;;Can;CanDo;CanDo060
0106/19;Felidae;Feline/cat;Companion;;Female;Unknown;;10;Year;Unknown;;;3.9;Unknown;;;;;FelCa;
0107/19;Caprinae;Ovine/sheep;Production;;Mixed;;;7.0;Month;Exact;;;40;Exact;;;;;CapSh;
0108/19;Canidae;Canine/dog;;;Female-Neutered;Not applicable;;7.5;Year;Exact;;;;Unknown;;;;;CanDo;
0109/19;Leporidae;European rabbit;;;Male;;;6.0;Month;Exact;;;;Unknown;;;;;LepRa;
0110/19;Leporidae;European rabbit;;;Female-Neutered;;;3.0;Year;Approximate;;;;Unknown;;;;;LepRa;
0111/19;Felidae;Feline/cat;;;Female;Unknown;;13.0;Year;Approximate;;;;Unknown;;;;;FelCa;
0112/19;Felidae;Feline/cat;;;Female-Neutered;;;15.0;Year;Exact;;;5.35;Approximate;;;;;FelCa;
0113/19;Felidae;Feline/cat;;;Female-Neutered;;;13.0;Year;Exact;;;;Unknown;;;;;FelCa;
0114/19;Felidae;Feline/cat;;;Male;;Unspecified;13.5;Year;Approximate;;;;Unknown;;;;;FelCa;Uns000
0115/19;Canidae;Canine/dog;;;Female-Neutered;Not applicable;;2.0;Year;Exact;;;2.75;Exact;;;;;CanDo;
0116/19;Felidae;Feline/cat;;;Female-Neutered;;;3.0;Year;Exact;;;;Unknown;;;;;FelCa;
0117/19;Canidae;Canine/dog;;;Male;;;1.5;Year;Approximate;;;47.9;Exact;;;;;CanDo;
0118/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;10.0;Year;Exact;;;32.8;Exact;;;;;CanDo;
0119/19;Canidae;Canine/dog;;;Male;;;8.0;Week;Approximate;;;1.0;Approximate;;;;;CanDo;
0120/19;Canidae;Canine/dog;;;Male;;;10.0;Month;Exact;;;;Unknown;;;;;CanDo;
0121/19;Canidae;Canine/dog;;;Male;;;10.0;Month;Approximate;;;;Unknown;;;;;CanDo;
0122/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;13.0;Year;Exact;;;4.1;Exact;;;;;FelCa;
0123/19;Canidae;Canine/dog;;;Female;Unknown;;14.0;Week;Approximate;;;8.2;Approximate;;;;;CanDo;
0124/19;Equidae;Equine/horse;Companion;;Unknown;;;;;Unknown;;;325;Exact;;;;;EquHo;
0125/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;1.8;Year;Exact;;;32.8;Exact;;;;;CanDo;
0126/19;Canidae;Canine/dog;Companion;;Female;Unknown;;16.0;Week;Approximate;;;2.0;Approximate;;;;;CanDo;
0127/19;Canidae;Canine/dog;Companion;;Female;Unknown;;7.0;Year;Exact;;;24.0;Exact;;;;;CanDo;
0128/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;8.0;Year;Exact;;;;Unknown;;;;;EquHo;
0129/19;Canidae;Canine/dog;Companion;;Female;;Crossbred;2.58;Month;;;;3;;;;;Can;CanDo;CanDo070
0131/19;Canidae;Canine/dog;;;Female;Unknown;;10.0;Week;Exact;;;;Unknown;;;;;CanDo;
0132/19;Canidae;Canine/dog;Companion;;Female;Unknown;;9.0;Year;Exact;;;9.5;Exact;;;;;CanDo;
0133/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Domestic Shorthair;7;Month;;;;;Approximate;4;4.5;;Fel;FelCa;FelCaxxx
0134/19;Felidae;Feline/cat;Companion;;Female-Neutered;;;15.0;Year;Exact;;;3.44;Exact;;;;;FelCa;
0135/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Unspecified;10.0;Month;Approximate;;;4.22;Exact;;;;;FelCa;Uns000
0136/19;Canidae;Canine/dog;;;Female-Neutered;;;6.0;Year;Exact;;;27.5;Exact;;;;;CanDo;
0137/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Domestic Shorthair;14.17;Year;;;;4.5;;;;;Fel;FelCa;FelCaxxx
0138/19;Bovinae;Bovine/cattle;Production;Breeder;Mixed;;Unspecified;9.0;Month;Approximate;;;300;Approximate;;;;;BovCa;Uns000
0140/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;13.5;Year;Exact;;;3.6;Exact;;;;;FelCa;
0142/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Terrier - Scottish ;2.25;Year;;;;11;;;;;Can;CanDo;CanDo200
0143/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;15.0;Year;Exact;;;;Exact;8;8.6;;;CanDo;
0144/19;Canidae;Canine/dog;Companion;;Male;;;3.5;Year;Exact;;;7.5;Exact;;;;;CanDo;
0145/19;Canidae;Canine/dog;Companion;;Mixed;;;;;Unknown;;;;Unknown;;;;;CanDo;
0146/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Boxer (German Boxer);7.75;Year;;;;37;;;;;Can;CanDo;CanDo080
0147/19;Canidae;Canine/dog;Companion;;Female;Unknown;;9;Week;Exact;;;6;Exact;;;;;CanDo;
0148/19;Felidae;Feline/cat;Companion;;Female;;Domestic Shorthair;13;Year;;;;2.6;;;;;Fel;FelCa;FelCaxxx
0149/19;Canidae;Canine/dog;Companion;;Unknown;;Unspecified;;;Unknown;;;;Unknown;;;;;CanDo;Uns000
0150/19;Canidae;Canine/dog;;;Female-Neutered;;;8.0;Year;Exact;;;29.5;Exact;;;;;CanDo;
0151/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Shih Tzu;9.92;Year;;;;10.5;;;;;Can;CanDo;CanDo206
0152/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Domestic Shorthair;16.67;Year;Exact;;;5.29;Exact;;;;Fel;FelCa;FelCaxxx
0153/19;Felidae;Feline/cat;Companion;;Female;;Domestic Shorthair;2.67;Year;;;;4.5;;;;;Fel;FelCa;FelCaxxx
0154/19;Canidae;Canine/dog;;;Female;Unknown;;8.0;Week;Exact;;;;Unknown;;;;;CanDo;
0155/19;Canidae;Canine/dog;;;Male-Neutered;;;9.0;Year;Exact;;;;Unknown;;;;;CanDo;
0156/19;Canidae;Canine/dog;Companion;;Unknown;;Crossbred;9.22;Year;;;;27;;;;;Can;CanDo;CanDo070
0157/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Rottweiler;4.92;Year;;;;50;;;;;Can;CanDo;CanDo188
0158/19;Felidae;Feline/cat;Companion;;Female-Neutered;;Domestic Unspecified;7;Month;;;;2.64;;;;;Fel;FelCa;FelCaxxx
0159/19;Felidae;Feline/cat;;;Male;;;19.0;Week;Approximate;;;1.6;Approximate;;;;;FelCa;
0160/19;Canidae;Canine/dog;Companion;;Female;;Pug;3.42;Year;;;;8.1;;;;;Can;CanDo;CanDo182
0161/19;Felidae;Feline/cat;;;Female;Unknown;;3.0;Month;Approximate;;;1.35;Approximate;;;;;FelCa;
0162/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;14.0;Year;Exact;;;3.69;Exact;;;;;FelCa;
0163/19;Felidae;Feline/cat;Companion;;Female-Neutered;;;4.6;Year;Exact;;;4;Exact;;;;;FelCa;
0164/19;Felidae;Feline/cat;Companion;;Female-Neutered;;;6.4;Year;Exact;;;3.71;Exact;;;;;FelCa;
0165/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;9.7;Year;Exact;;;5.91;Exact;;;;;FelCa;
0166/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;EquHo;
0167/19;Equidae;Equine/horse;Companion;;Female;Unknown;;11.0;Year;Exact;;;;Unknown;;;;;EquHo;
0170/19;Canidae;Canine/dog;Companion;;Female-Neutered;;;15.0;Year;Exact;;;9.6;Exact;;;;;CanDo;
0171/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;2.0;Year;Exact;;;;Unknown;;;;;CanDo;
0172/19;Canidae;Canine/dog;Companion;;Female-Neutered;;;14;Year;Exact;;;3.5;Exact;;;;;CanDo;
0173/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;7.0;Year;Exact;;;;Exact;29.6;31;;;CanDo;
0174/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Terrier - Yorkshire ;5;Year;;;;3.5;;;;;Can;CanDo;CanDo230
0175/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;7.0;Year;Exact;;;3.8;Exact;;;;;FelCa;
0176/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;3.5;Year;Exact;;;4.2;Exact;;;;;FelCa;
0177/19;Felidae;Feline/cat;Companion;;Female-Neutered;;;6.0;Year;Exact;;;4.7;Exact;;;;;FelCa;
0178/19;Canidae;Canine/dog;;;Male;;;8.0;Week;Exact;;;3.81;Exact;;;;;CanDo;
0179/19;Felidae;Feline/cat;Companion;;Female-Neutered;Unknown;;18.5;Year;Exact;;;3.1;Exact;;;;;FelCa;
0180/19;Felidae;Feline/cat;Companion;;Female-Neutered;Unknown;;12.0;Year;Exact;;;;Unknown;;;;;FelCa;
0181/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;6.6;Year;Exact;;;;Unknown;;;;;FelCa;
0182/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;8.0;Year;Exact;;;17.7;Exact;;;;;CanDo;
0183/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;9.4;Year;Exact;;;6.8;Exact;;;;;CanDo;
0184/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;12.0;Year;Exact;;;28.5;Exact;;;;;CanDo;
0185/19;Canidae;Canine/dog;Companion;;Female;Unknown;;3.0;Year;Exact;;;;Unknown;;;;;CanDo;
0186/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;EquHo;
0187/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;5.0;Year;Exact;;;4.9;Exact;;;;;FelCa;
0188/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;23.0;Year;Approximate;;;580.0;Exact;;;;;EquHo;
0189/19;Canidae;Canine/dog;Companion;;Male;;;5.6;Year;Exact;;;10.5;Exact;;;;;CanDo;
0190/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
0191/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;6.0;Year;Exact;;;;Unknown;;;;;EquHo;
0192/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;11.0;Year;Exact;;;;Unknown;;;;;EquHo;
0193/19;Equidae;Equine/horse;Companion;;Female;Unknown;;11.0;Year;Exact;;;;Unknown;;;;;EquHo;
0194/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;7.0;Year;Exact;;;;Unknown;;;;;EquHo;
0195/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;;Year;Approximate;12;13;;Unknown;;;;;FelCa;
0196/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;15.0;Year;Exact;;;;Unknown;;;;;EquHo;
0197/19;Canidae;Canine/dog;Companion;;Female;Unknown;;;;Unknown;;;30;Exact;;;;;CanDo;
0198/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Crossbred;3;Year;;;;8;;;;;Can;CanDo;CanDo070
0199/19;Canidae;Canine/dog;Companion;;Female;Unknown;;4.0;Year;Exact;;;24.0;Exact;;;;;CanDo;
0200/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;8.0;Year;Exact;;;;Unknown;;;;;EquHo;
0201/19;Bovinae;Bovine/cattle;Production;;Unknown;;;11.0;Week;Exact;;;;Unknown;;;;;BovCa;
0202/19;Bovinae;Bovine/cattle;Production;;Unknown;;;3.0;Month;Approximate;;;;Unknown;;;;;BovCa;
0203/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;;;Unknown;;;12.4;Exact;;;;;CanDo;
0204/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;9.0;Year;Exact;;;5.1;Exact;;;;;FelCa;
0205/19;Canidae;Canine/dog;;;Female-Neutered;Unknown;Unspecified;4.0;Year;Exact;;;18.0;Approximate;;;;;CanDo;Uns000
0206/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;14.0;Year;Exact;;;5.9;Exact;;;;;FelCa;
0207/19;Felidae;Feline/cat;Companion;;Female;Unknown;;1.0;Year;Exact;;;3.3;Exact;;;;;FelCa;
0208/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;13.0;Year;Exact;;;;Unknown;;;;;FelCa;
0209/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;1.0;Year;Exact;;;4.7;Exact;;;;;FelCa;
0210/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;13.0;Year;Exact;;;;Unknown;;;;;FelCa;
0211/19;Felidae;Feline/cat;Companion;;Female;Unknown;;3.0;Year;Exact;;;4.0;Approximate;;;;;FelCa;
0212/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
0213/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;11.0;Year;Exact;;;4.7;Exact;;;;;FelCa;
0214/19;Canidae;Canine/dog;Companion;;Male;;;11.5;Year;Exact;;;;Exact;40;44;;;CanDo;
0215/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;5.5;Year;Exact;;;5.59;Exact;;;;;FelCa;
0216/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;9.0;Year;Exact;;;5.5;Exact;;;;;FelCa;
0217/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;13.0;Year;Exact;;;4.0;Exact;;;;;FelCa;
0218/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;10.5;Year;Exact;;;4.45;Exact;;;;;FelCa;
0219/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;14.0;Year;Exact;;;6.1;Exact;;;;;FelCa;
0220/19;Canidae;Canine/dog;Companion;;Female-Neutered;;;6.0;Year;Exact;;;6.3;Exact;;;;;CanDo;
0221/19;Felidae;Feline/cat;;;Female-Neutered;;;16.0;Year;Exact;;;2.0;Exact;;;;;FelCa;
0222/19;Felidae;Feline/cat;;;Female-Neutered;;;15.0;Year;Approximate;;;;Approximate;3.6;3.9;;;FelCa;
0223/19;Felidae;Feline/cat;;;Male;;;16.0;Year;Approximate;;;;Unknown;;;;;FelCa;
0224/19;Felidae;Feline/cat;Companion;;Female-Neutered;;Domestic Shorthair;1.42;Year;;;;3.19;;;;;Fel;FelCa;FelCaxxx
0225/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;6.5;Year;Exact;;;;Unknown;;;;;EquHo;
