ADRNo;AnimalClass;AnimalSpecies;AnimalRole;ProductionType;AnimalSex;FemaleStatus;AnimalBreed;AnimalAge;AgeUnit;AgeType;MinimumAge;MaximumAge;AnimalWeight;WeightType;MinimumWeight;MaximumWeight;ParentOfCrossbreed;ClassCode;SpeciesCode;BreedCode
10274/19;Canidae;Canine/dog;Companion;;Female;Unknown;;3.0;Month;Exact;;;12;Exact;;;;;CanDo;
10275/19;Canidae;Canine/dog;Companion;;Female;;Crossbred;5;Month;;;;19;;;;;Can;CanDo;CanDo070
10277/19;Felidae;Feline/cat;Companion;;Male;;Domestic Shorthair;4.75;Year;;;;5.1;;;;;Fel;FelCa;FelCaxxx
10278/19;Felidae;Feline/cat;Companion;;Male;;;1.08;Year;Exact;;;4.5;Exact;;;;;FelCa;
10279/19;Canidae;Canine/dog;Companion;;Male;;Bulldog - French ;2.0;Month;Exact;;;1.36;Exact;;;;Can;CanDo;CanDo031
10280/19;Equidae;Equine/horse;Companion;;Female;;Welsh Cob;16.69;Year;;;;500;;;;;Equ;EquHo;EquHo104
10281/19;Canidae;Canine/dog;Companion;;Male;;Retriever - Labrador ;6.58;Year;;;;32;;;;;Can;CanDo;CanDo148
10282/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;10.6;Year;Exact;;;9.3;Exact;;;;;CanDo;
10283/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;9.0;Year;Exact;;;3.3;Exact;;;;;FelCa;
10284/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;9.0;Year;Exact;;;41.5;Exact;;;;;CanDo;
10285/19;Canidae;Canine/dog;Companion;;Male;;Terrier - Jack Russell ;2.03;Month;;;;2.5;;;;;Can;CanDo;CanDo139
10286/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Crossbred;6.33;Year;;;;9;;;;;Can;CanDo;CanDo070
10287/19;Leporidae;European rabbit;Companion;;Male;;;8.0;Week;Exact;;;0.45;Exact;;;;;LepRa;
10290/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Crossbred;5.5;Year;;;;37;;;;;Can;CanDo;CanDo070
10291/19;Felidae;Feline/cat;Companion;;Female;;Maine Coon;4.68;Month;;;;2.5;;;;;Fel;FelCa;FelCa023
10292/19;Canidae;Canine/dog;Companion;;Female-Neutered;;;3.4;Year;Exact;;;4.2;Exact;;;;;CanDo;
10293/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;5.0;Year;Exact;;;43.5;Exact;;;;;CanDo;
10294/19;Canidae;Canine/dog;Companion;;Female-Neutered;;;1.3;Year;Exact;;;8.8;Exact;;;;;CanDo;
10295/19;Canidae;Canine/dog;Companion;;Male;;;9.0;Month;Exact;;;13.3;Exact;;;;;CanDo;
10296/19;Equidae;Equine/horse;Companion;;Female;Unknown;;5.0;Year;Exact;;;200;Approximate;;;;;EquHo;
10298/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;;;Unknown;;;;Unknown;;;;;EquHo;
10299/19;Felidae;Feline/cat;Companion;;Female-Neutered;;;1.7;Year;Exact;;;;Unknown;;;;;FelCa;
10300/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Terrier - Boston ;8.25;Year;;;;13.55;;;;;Can;CanDo;CanDo030
10301/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;7.0;Month;Exact;;;2.1;Exact;;;;;FelCa;
10302/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;7.2;Year;Exact;;;9.7;Exact;;;;;CanDo;
10303/19;Felidae;Feline/cat;Companion;;Female-Neutered;Unknown;;8.0;Year;Exact;;;5.4;Exact;;;;;FelCa;
10304/19;Felidae;Feline/cat;Companion;;Female;Unknown;;11.0;Week;Exact;;;;Unknown;;;;;FelCa;
10305/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Collie - Border ;7.92;Year;;;;16.5;;;;;Can;CanDo;CanDo028
10306/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Crossbred;13.83;Year;;;;28.5;;;;;Can;CanDo;CanDo070
10307/19;Felidae;Feline/cat;Companion;;Female;Not applicable;;2.0;Year;Exact;;;3.5;Exact;;;;;FelCa;
10308/19;Leporidae;European rabbit;Companion;;Female;;Netherland Dwarf;6.5;Year;;;;1.42;;;;;Lep;LepRa;LepRa016
10309/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Shih Tzu;11.48;Year;;;;7.30;;;;;Can;CanDo;CanDo206
10314/19;Felidae;Feline/cat;Companion;;Female;;;8.11;Year;Exact;;;;;;;;Fel;FelCa;
10315/19;Caprinae;Ovine/sheep;Production;;Unknown;;;;;Unknown;;;;Unknown;;;;;CapSh;
10316/19;Canidae;Canine/dog;Companion;;Male;;Shih Tzu;1.41;Year;Exact;;;8.1;;;;;Can;CanDo;CanDo206
10318/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;9.3;Year;Exact;;;6.88;Exact;;;;;FelCa;
10319/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;10.0;Year;Exact;;;;Unknown;;;;;EquHo;
10320/19;Equidae;Equine/horse;Companion;;Female;Unknown;;10.0;Year;Exact;;;;Unknown;;;;;EquHo;
10321/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;3.5;Year;Exact;;;27.9;Exact;;;;;CanDo;
10322/19;Equidae;Equine/horse;Companion;;Mixed;Non-pregnant - Non-lactating;;;Year;Approximate;19.0;30.0;100.0;Approximate;;;;;EquHo;
10323/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;3.0;Month;Exact;;;;Unknown;;;;;FelCa;
10324/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;6.5;Year;Exact;;;22.55;Exact;;;;;CanDo;
10325/19;Canidae;Canine/dog;Companion;;Male;;;10.0;Week;Exact;;;4.2;Exact;;;;;CanDo;
10326/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;8.5;Year;Exact;;;27.8;Exact;;;;;CanDo;
10327/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;20.0;Year;Exact;;;;Unknown;;;;;EquHo;
10328/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;12.0;Year;Exact;;;3.57;Exact;;;;;FelCa;
10329/19;Bovinae;Bovine/cattle;Production;;Mixed;;;;Month;Exact;4;6;;Unknown;;;;;BovCa;
10330/19;Canidae;Canine/dog;Companion;;Male;;;6.0;Month;Approximate;;;12.9;Exact;;;;;CanDo;
10331/19;Canidae;Canine/dog;Companion;;Male;;;;;Unknown;;;22.5;Exact;;;;;CanDo;
10332/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;15.5;Year;Exact;;;3.48;Exact;;;;;FelCa;
10333/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;13.0;Year;Exact;;;;Unknown;;;;;EquHo;
10334/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;20.0;Year;Exact;;;;Unknown;;;;;EquHo;
10335/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;27.0;Year;Exact;;;;Unknown;;;;;EquHo;
10336/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;11.3;Year;Exact;;;;Unknown;;;;;CanDo;
10337/19;Felidae;Feline/cat;Companion;;Female-Neutered;;;;;Unknown;;;3.2;Exact;;;;Fel;FelCa;
10339/19;Equidae;Equine/horse;Companion;;Male-Neutered;;Shetland Pony;5.71;Year;Exact;;;250;;;;;Equ;EquHo;EquHo093
10340/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Crossbred;2.62;Year;Exact;;;9.7;;;;;Can;CanDo;CanDo070
10341/19;Canidae;Canine/dog;Companion;;Male;;;7.0;Year;Exact;;;7.5;Exact;;;;;CanDo;
10342/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Exact;23.0;38.0;;;CanDo;
10343/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;11.5;Year;Exact;;;9.4;Exact;;;;;CanDo;
10344/19;Felidae;Feline/cat;Companion;;Female;Pregnant - Non-lactating;;2.0;Year;Exact;;;;Unknown;;;;;FelCa;
10345/19;Felidae;Feline/cat;Companion;;Female;Non-pregnant - Non-lactating;;10.0;Year;Exact;;;;Unknown;;;;;FelCa;
10346/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;11.9;Year;Exact;;;25.6;Exact;;;;;CanDo;
10347/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
10348/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;12.9;Year;Exact;;;;Exact;32.0;35.0;;;CanDo;
10349/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
10350/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;20.0;Year;Approximate;;;;Unknown;;;;;EquHo;
10351/19;Felidae;Feline/cat;Companion;;Female;Unknown;;19.0;Year;Exact;;;;Unknown;;;;;FelCa;
10352/19;Bovinae;Bovine/cattle;Production;;Male;;;9.0;Month;Exact;;;;Unknown;;;;;BovCa;
10353/19;Bovinae;Bovine/cattle;Production;;Mixed;;;5.0;Month;Approximate;;;;Unknown;;;;;BovCa;
10355/19;Canidae;Canine/dog;Companion;;Male;;Labrador Retriever;10.0;Week;Exact;;;6.4;Exact;;;;Can;CanDo;CanDo148
10354/19;Canidae;Canine/dog;Companion;;Unknown;;;;;;;;;;;;;;CanDo;
10356/19;Felidae;Feline/cat;Companion;;Unknown;;;;;;;;;;;;;;FelCa;
10357/19;Equidae;Equine/horse;Companion;;Female;Unknown;;29.0;Year;Exact;;;500.0;Approximate;;;;;EquHo;
10358/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;12.0;Year;Approximate;;;600.0;Approximate;;;;;EquHo;
10359/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;30.0;Year;Exact;;;;Unknown;;;;;EquHo;
10360/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;12.0;Year;Exact;;;6.8;Exact;;;;;CanDo;
10361/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;6.8;Year;Exact;;;8.3;Exact;;;;;CanDo;
10362/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;19.0;Year;Exact;;;500.0;Exact;;;;;EquHo;
10363/19;Canidae;Canine/dog;Companion;;Unknown;;;2.0;Year;Exact;;;;Unknown;;;;;CanDo;
10364/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;2.5;Exact;;;;;FelCa;
10365/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;7.0;Year;Exact;;;500.0;Exact;;;;;EquHo;
10366/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;24.0;Year;Approximate;;;497.0;Exact;;;;;EquHo;
10367/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;12.0;Year;Exact;;;300.0;Exact;;;;;EquHo;
10368/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;3.5;Year;Exact;;;27.5;Exact;;;;;CanDo;
10369/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;12.0;Year;Exact;;;9;Exact;;;;;FelCa;
10370/19;Canidae;Canine/dog;Companion;;Male;;;2.0;Year;Exact;;;26.2;Exact;;;;;CanDo;
10371/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;5.8;Year;Exact;;;27.8;Exact;;;;;CanDo;
10372/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;6.0;Year;Exact;;;5.7;Exact;;;;;FelCa;
10373/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;14.0;Year;Exact;;;;Unknown;;;;;EquHo;
10374/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;10.0;Year;Exact;;;9.9;Exact;;;;;CanDo;
10375/19;Bovinae;Bovine/cattle;Production;;Unknown;;;;;Unknown;;;;Unknown;;;;;BovCa;
10376/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
10377/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;18.0;Year;Exact;;;550.0;Exact;;;;;EquHo;
10378/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;12.5;Year;Exact;;;5.6;Exact;;;;;FelCa;
10379/19;Bovinae;Bovine/cattle;Production;;Male;;;;Month;Exact;6;9;;Unknown;;;;;BovCa;
10380/19;Equidae;Equine/horse;Companion;;Female;Unknown;;32.0;Year;Exact;;;;Unknown;;;;;EquHo;
10381/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;8.5;Year;Exact;;;;Unknown;;;;;CanDo;
10382/19;Bovinae;Bovine/cattle;Production;;Mixed;;;;;Unknown;;;;Unknown;;;;;BovCa;
10383/19;Felidae;Feline/cat;Companion;;Male;;;12.0;Week;Exact;;;0.57;Exact;;;;;FelCa;
10384/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;2.0;Year;Exact;;;5.5;Exact;;;;;FelCa;
10385/19;Bovinae;Bovine/cattle;Production;;Female;Unknown;;;;Unknown;;;;Unknown;;;;;BovCa;
10386/19;Caprinae;Ovine/sheep;Production;;Unknown;;;;;Unknown;;;;Unknown;;;;;CapSh;
10387/19;Felidae;Feline/cat;Companion;;Male;;Other Feline/cat;0.32;Year;Exact;;;2.1;;;;;Fel;FelCa;FelCa028
10388/19;Felidae;Feline/cat;Companion;;Female-Neutered;Non-pregnant - Non-lactating;;6.0;Month;Exact;;;2.39;Exact;;;;;FelCa;
10389/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;13.0;Year;Exact;;;13.5;Exact;;;;;CanDo;
10390/19;Felidae;Feline/cat;Companion;;Male-Neutered;;Crossbred;3.69;Year;Exact;;;4.18;;;;;Fel;FelCa;FelCa013
10391/19;Equidae;Equine/horse;Companion;;Female;Non-pregnant - Non-lactating;;15.0;Year;Exact;;;;Unknown;;;;;EquHo;
10392/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
10393/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;12.0;Month;Exact;;;;Exact;3.2;3.3;;;FelCa;
